t_s,n,u1_pwm,u1_V,u1unsat_pwm,u1unsat_V,y1_rads,u2_ref,y2_rad,x1i,x2i,x1o,x2o
0.215,87,34.8259468078613,0,34.8259468078613,0,2.91897368431091,15.6817626953125,-0.00650992710143328,0,0,0,0
0.2175,88,7.10714054107666,0,7.10714054107666,0,4.43528699874878,5.5040283203125,-0.00594061892479658,0,0,0,0
0.22,89,42.4497528076172,0,42.4497528076172,0,4.75049781799316,19.8302001953125,-0.00552479457110167,0,0,0,0
0.2225,90,43.6389999389648,0,43.6389999389648,0,4.81602382659912,20.34521484375,-0.005051682703197,0,0,0,0
0.225,91,92.1166229248047,0,92.1166229248047,0,2.91539907455444,38.5958862304688,-0.00470612058416009,0,0,0,0
0.2275,92,91.3523330688477,0,91.3523330688477,0,4.4345440864563,39.20166015625,-0.00428432831540704,0,0,0,0
0.23,93,134.556884765625,0,134.556884765625,0,2.836097240448,55.5244140625,-0.00397625006735325,0,0,0,0
0.2325,94,126.568786621094,0,126.568786621094,0,4.4180588722229,53.2783508300781,-0.00358183565549552,0,0,0,0
0.235,95,161.906463623047,0,161.906463623047,0,2.83267021179199,66.4621887207031,-0.00329375430010259,0,0,0,0
0.2375,96,149.096069335938,0,149.096069335938,0,2.50310039520264,61.1402893066406,-0.00291394605301321,0,0,0,0
0.24,97,172.192489624023,0,172.192489624023,0,4.34883546829224,71.4862976074219,-0.00263653299771249,0,0,0,0
0.2425,98,154.862014770508,0,154.862014770508,0,2.81828022003174,63.6357727050781,-0.00226451689377427,0,0,0,0
0.245,99,175.685638427734,0.00296340580780852,175.685638427734,0.00296340580780852,2.50010895729065,71.7743225097656,-0.00199279515072703,0,0,0,0
0.2475,100,215.264602661133,0.47228212785469,215.264602661133,0.47228212785469,2.43396759033203,87.5662231445312,-0.00179432891309261,0,0,0,0
0.25,101,261.654479980469,1.22882823748023,261.654479980469,1.22882823748023,2.42021822929382,106.113922119141,-0.00164936867076904,0,0,0,0
0.2525,102,305.199279785156,2.11487893792381,305.199279785156,2.11487893792381,4.33160591125488,124.678680419922,-0.0015434892848134,0,0,0,0
0.255,103,289.4052734375,1.77874716730551,289.4052734375,1.77874716730551,0.900452375411987,116.302383422852,-0.00129676167853177,0,0,0,0
0.2575,104,295.398345947266,1.90474382451645,295.398345947266,1.90474382451645,2.10143184661865,119.420196533203,-0.00111655122600496,0,0,0,0
0.26,105,314.203033447266,2.31136063511032,314.203033447266,2.31136063511032,4.26533699035645,128.240417480469,-0.000984925078228116,0,0,0,0
0.2625,106,344.122222900391,2.97333387395751,344.122222900391,2.97333387395751,2.80092239379883,139.329437255859,-0.000888784881681204,0,0,0,0
0.265,107,375.977722167969,3.65918704316568,375.977722167969,3.65918704316568,0.582254528999329,150.740447998047,-0.000818563858047128,0,0,0,0
0.2675,108,336.692718505859,2.80900857954087,336.692718505859,2.80900857954087,2.03528499603271,135.898254394531,-0.000597881269641221,0,0,0,0
0.27,109,329.944152832031,2.65932890850994,329.944152832031,2.65932890850994,2.33734035491943,133.380065917969,-0.000436694099335,0,0,0,0
0.2725,110,339.902404785156,2.8800924467573,339.902404785156,2.8800924467573,2.40013146400452,137.40104675293,-0.000318962556775659,0,0,0,0
0.275,111,357.541351318359,3.26706605301444,357.541351318359,3.26706605301444,2.41318440437317,144.464447021484,-0.000232971113291569,0,0,0,0
0.2775,112,377.699157714844,3.69490354164994,377.699157714844,3.69490354164994,2.41589784622192,152.529190063477,-0.000170162733411416,0,0,0,0
